tick_ms,position_mm,velocity_mm_s,target_mm_s,internal_model_mm_s,current_command_A,unsaturated_current_A,saturated
7.380600000000000000e+04,2.965059999999999718e+02,-5.866999999999999993e+00,0.000000000000000000e+00,1.961599999999999966e+01,1.000000000000000000e+01,1.313599999999999923e+01,1.000000000000000000e+00
7.380800000000000000e+04,2.965230000000000246e+02,6.738000000000000433e+00,0.000000000000000000e+00,1.884700000000000131e+01,6.616999999999999993e+00,6.616999999999999993e+00,0.000000000000000000e+00
7.381000000000000000e+04,2.965760000000000218e+02,2.401699999999999946e+01,0.000000000000000000e+00,1.810800000000000054e+01,-2.491000000000000103e+00,-2.491000000000000103e+00,0.000000000000000000e+00
7.381200000000000000e+04,2.966680000000000064e+02,4.450399999999999778e+01,0.000000000000000000e+00,1.739799999999999969e+01,-1.000000000000000000e+01,-1.361700000000000088e+01,1.000000000000000000e+00
7.381400000000000000e+04,2.967500000000000000e+02,4.230400000000000205e+01,0.000000000000000000e+00,1.671600000000000108e+01,-1.000000000000000000e+01,-1.322199999999999953e+01,1.000000000000000000e+00
7.381600000000000000e+04,2.968039999999999736e+02,2.887500000000000000e+01,0.000000000000000000e+00,1.606099999999999994e+01,-7.003000000000000114e+00,-7.003000000000000114e+00,0.000000000000000000e+00
7.381800000000000000e+04,2.968170000000000073e+02,9.762000000000000455e+00,0.000000000000000000e+00,1.543099999999999916e+01,2.342000000000000082e+00,2.342000000000000082e+00,0.000000000000000000e+00
7.382000000000000000e+04,2.967939999999999827e+02,-1.022100000000000009e+01,0.000000000000000000e+00,1.482600000000000051e+01,1.000000000000000000e+01,1.252800000000000047e+01,1.000000000000000000e+00
7.382200000000000000e+04,2.967640000000000100e+02,-1.457499999999999929e+01,0.000000000000000000e+00,1.424399999999999977e+01,1.000000000000000000e+01,1.489300000000000068e+01,1.000000000000000000e+00
7.382400000000000000e+04,2.967649999999999864e+02,-2.153999999999999915e+00,0.000000000000000000e+00,1.368599999999999994e+01,8.580999999999999517e+00,8.580999999999999517e+00,0.000000000000000000e+00
7.382600000000000000e+04,2.968109999999999786e+02,2.035000000000000142e+01,0.000000000000000000e+00,1.314899999999999913e+01,-3.060999999999999943e+00,-3.060999999999999943e+00,0.000000000000000000e+00
7.382800000000000000e+04,2.968990000000000009e+02,4.129599999999999937e+01,0.000000000000000000e+00,1.263400000000000034e+01,-1.000000000000000000e+01,-1.435100000000000087e+01,1.000000000000000000e+00
7.383000000000000000e+04,2.969739999999999895e+02,3.845400000000000063e+01,0.000000000000000000e+00,1.213799999999999990e+01,-1.000000000000000000e+01,-1.352999999999999936e+01,1.000000000000000000e+00
7.383200000000000000e+04,2.970319999999999823e+02,3.176300000000000168e+01,0.000000000000000000e+00,1.166200000000000081e+01,-1.000000000000000000e+01,-1.068399999999999928e+01,1.000000000000000000e+00
7.383400000000000000e+04,2.970409999999999968e+02,8.250000000000000000e+00,0.000000000000000000e+00,1.120500000000000007e+01,9.080000000000000293e-01,9.080000000000000293e-01,0.000000000000000000e+00
7.383600000000000000e+04,2.969990000000000236e+02,-1.760000000000000142e+01,0.000000000000000000e+00,1.076600000000000001e+01,1.000000000000000000e+01,1.417399999999999949e+01,1.000000000000000000e+00
