time_s,ideal_unit_step_response,estimate_60_deg_s,sensitivity_min_60_deg_s,sensitivity_max_60_deg_s,estimate_120_deg_s,sensitivity_min_120_deg_s,sensitivity_max_120_deg_s,estimate_400_deg_s,sensitivity_min_400_deg_s,sensitivity_max_400_deg_s
0.8200000000000001,0.9997253464300279,45.73919010712659,45.73919010712659,54.90157358920056,99.6336724194374,99.6336724194374,115.27220525897927,398.5487720778156,368.9532219976202,487.89799507402165
0.84,0.9997751326758212,46.40431949362075,46.40431949362075,54.53716265907717,100.6933468711989,100.6933468711989,114.90305262768693,401.6691699567572,372.3478125912451,487.17284693881095
0.86,0.9998158942063324,45.105753503836894,45.105753503836894,52.38557949692812,98.09369331960718,98.09369331960718,110.98319053213721,399.38627823603855,373.4285682978712,483.4771213089624
0.88,0.9998492669249045,43.67103587100954,43.67103587100954,51.26564742228673,95.04560095660595,95.04560095660595,108.14284060542111,397.3854210057525,372.4117347878355,487.5767719264123
0.9,0.9998765901959134,44.334600847570954,44.334600847570954,53.12404954373901,95.84382285849927,95.84382285849927,110.5154948266282,400.30842815546663,371.95796670136644,499.490405232253
0.92,0.9998989605981629,47.01567840219663,47.01567840219663,56.424825918983736,100.71695360811673,100.71695360811673,116.43730520159548,405.4066618855739,373.56162994052664,508.0055319476963
0.9400000000000001,0.9999172759344434,49.18655972028883,49.18655972028883,57.605042956477504,105.08273586191088,105.08273586191088,119.6445360820434,406.3978057561634,375.69566605273366,505.70761430065403
0.96,0.9999322712635091,48.67740138473461,48.67740138473461,55.2136560462223,104.47199278873752,104.47199278873752,116.25965715953937,402.2142348895895,376.1157457367781,498.986967805779
0.98,0.9999445484005678,46.26013036737065,46.26013036737065,52.64010292665591,99.7218261996051,99.7218261996051,110.13632678768583,398.62970749226474,375.06593398426594,499.1782896371374
1.0,0.9999546000702375,44.96444843919739,44.96444843919739,51.727236540130235,96.41537177996544,96.41537177996544,107.427497261728,400.400463012556,374.9621280424368,506.7242612366625
1.02,0.9999628296813159,46.78248922140916,46.78248922140916,55.49447953825855,98.93317526362038,98.93317526362038,112.76623986066808,404.5801659528997,376.98906608708785,510.08517845390713
1.04,0.9999695675169916,50.43578885394229,50.43578885394229,59.682683358933076,105.62799219395141,105.62799219395141,120.84876533824522,404.32557768633455,379.32570369535233,501.2902893959449
1.06,0.9999750839902685,52.70219426175994,52.70219426175994,60.12389726253151,110.46375154627646,110.46375154627646,123.57420820242314,398.3134101124369,379.5606726953574,487.1175035092984
1.08,0.9999796004965888,51.81037878035128,51.81037878035128,56.53685045045507,109.30938368636923,109.30938368636923,118.24566201529412,392.94883507223534,378.10550111229134,480.3031855454732
1.1,0.9999832982992097,49.19216606898876,49.19216606898876,54.97579836613409,104.07665057159815,104.07665057159815,113.65401905776805,393.9748193321735,377.8726513128838,482.2762006821387
1.12,0.9999863258039343,47.84863558039161,47.84863558039161,53.69500165332171,100.50405061775945,100.50405061775945,110.68812351827222,398.58513404779325,380.43453154465857,481.0290585896837
1.1400000000000001,0.9999888045151574,49.30589504942456,49.30589504942456,56.8840856763687,102.33620741055485,102.33620741055485,113.82503865936867,398.97867513692694,383.77998566189837,467.6348160595088
1.16,0.9999908339122637,52.39125767770453,52.39125767770453,60.91202234120629,108.08187269021607,108.08187269021607,121.9422776210713,393.02692695650796,384.88378558769097,449.1691279255523
1.18,0.9999924954420849,54.74855792058962,54.74855792058962,61.67057985261303,113.13359594916359,113.13359594916359,125.51524488505807,387.64704018994485,383.8513371649226,439.851690961045
1.2,0.9999938557876467,55.09451077606279,55.09451077606279,59.1583115481596,114.26916591431409,114.26916591431409,122.37078469634837,389.7561784242967,384.00401453525274,441.77708110190406
1.22,0.9999949695443929,53.92609623958369,53.92609623958369,58.00085364176207,111.86140652534199,111.86140652534199,118.8296268690674,396.60837545901245,387.4755375201359,441.7213826540185
1.24,0.9999958814112925,52.53440390370408,52.53440390370408,57.214262329192245,108.50888149865821,108.50888149865821,117.02975627500277,398.93847337792204,392.053997019448,429.3126047376908
1.26,0.9999966279847659,51.884535412273905,51.884535412273905,56.25360745313032,106.56858723617115,106.56858723617115,115.02947529495863,393.4185905878227,393.4185905878227,412.0321145755762
1.28,0.999997239227428,52.394754453275056,52.394754453275056,58.38791845520685,107.101371672134,107.101371672134,116.32992145612437,387.68238016506194,387.68238016506194,405.56549647394746
1.3,0.999997739670593,54.129891980796074,54.129891980796074,60.736462890958215,110.11170889307792,110.11170889307792,121.16374603022962,390.31251241525496,390.31251241525496,411.812282040232
1.32,0.9999981493988024,56.627010124772056,56.627010124772056,62.208308757904,114.63599968468816,114.63599968468816,124.93774235216124,398.72853909253035,393.5726755240841,415.45965822939206
1.34,0.9999984848558878,58.661369828272726,58.661369828272726,61.94484840036505,118.56233246210432,118.56233246210432,125.59946521264682,402.0095247481038,398.41797295849034,405.45743489697185
1.36,0.99999875950492,58.85642338490281,58.85642338490281,60.73807277874576,119.44434385677374,119.44434385677374,122.62053573391027,395.9961285514117,391.6952519599186,400.40641368419483
1.3800000000000001,0.999998984368529,57.01714426850542,56.56241895519243,60.280313493142145,116.52785235296821,115.59239851272262,122.25003326272288,390.00897065514096,390.00897065514096,397.9711042087789
1.4000000000000001,0.9999991684712809,54.738852596521724,54.738852596521724,58.667354013515705,112.03942469561115,111.44647095181257,119.56837768182912,394.202611053961,394.202611053961,402.80951336501926
1.42,0.9999993192018656,54.22556403552977,54.22556403552977,58.02760934889648,109.78565437668637,109.78565437668637,116.57576210234349,403.7872035291391,397.27595136627104,406.2236435990202
1.44,0.9999994426096307,56.20939143260954,56.20939143260954,62.520412916507425,111.8785987109596,111.8785987109596,122.56732198522566,404.24624033638736,395.2157710765366,404.24624033638736
1.46,0.9999995436473632,59.05829027121991,58.1666139472898,64.31561443216337,116.69260885721782,116.69260885721782,128.22480393856898,395.0601610722076,390.3069517711391,403.85957834202736
1.48,0.999999626370062,59.99999999999998,59.99999999999998,60.000000000000014,120.00000000000003,119.99999999999999,120.00000000000006,400.0000000000001,400.0000000000001,400.0000000000007
1.5,0.9999996940976795,59.99999999999998,59.99999999999998,60.000000000000014,120.00000000000003,119.99999999999999,120.00000000000006,400.0000000000001,400.0000000000001,400.0000000000007
