raw_relative_to_target400_s,shifted_relative_s_minus_1s,position_mm,velocity_mm_s,current_A,state,unit_message_code
2.592355490,1.592355490,352.769409180,93.500000000,3.042999983,1,1
2.602047443,1.602047443,353.382049561,74.525001526,-4.423999786,1,1
2.612433910,1.612433910,354.069885254,34.283332825,-3.368000031,1,1
2.622129917,1.622129917,354.853729248,92.858329773,3.249000072,1,1
2.632374048,1.632374048,355.371368408,61.599998474,-4.058000088,1,1
2.642161846,1.642161846,356.133056641,50.554164886,0.035999998,1,1
2.652507782,1.652507782,356.867553711,102.574996948,3.180999994,1,1
2.662126780,1.662126780,357.402648926,38.270835876,-3.813999891,1,1
2.672394753,1.672394753,358.053558350,41.662498474,0.064999998,1,1
2.682093620,1.682093620,358.713867188,81.445831299,3.223999977,1,1
2.692355156,1.692355156,359.273468018,75.900001526,0.300000012,1,1
2.702086687,1.702086687,359.733367920,25.208333969,-4.092000008,1,1
2.712384939,1.712384939,360.470886230,74.020828247,3.443000078,1,1
2.722121239,1.722121239,360.922058105,66.137496948,-4.594999790,1,1
2.732314825,1.732314825,361.502471924,23.695833206,-3.829999924,1,1
2.742078304,1.742078304,362.233276367,80.070831299,3.352999926,1,1
2.752363205,1.752363205,362.793884277,76.220832825,3.220999956,1,1
2.762105703,1.762105703,363.238677979,54.083332062,-4.227000237,1,1
2.772433281,1.772433281,363.844268799,31.579166412,-0.423000008,1,1
2.782145023,1.782145023,364.448516846,89.833335876,2.930999994,1,1
2.792336464,1.792336464,364.889953613,19.845832825,-3.890000105,1,1
2.802122593,1.802122593,365.598602295,78.237503052,2.950999975,1,1
2.812340736,1.812340736,365.964508057,44.000000000,-4.396999836,1,1
2.822091579,1.822091579,366.683227539,39.783332825,3.831000090,1,1
2.832317352,1.832317352,367.065582275,63.479167938,-4.539000034,1,1
2.842008591,1.842008591,367.567443848,22.687500000,-4.280000210,1,1
2.852466822,1.852466822,368.167999268,55.916667938,3.532999992,1,1
2.862172604,1.862172604,368.392913818,41.295833588,-4.429999828,1,1
2.872413635,1.872413635,369.037445068,37.262500763,3.846999884,1,1
2.882137775,1.882137775,369.463439941,68.154167175,2.898999929,1,1
2.892352819,1.892352819,369.755828857,1.375000000,-4.111999989,1,1
2.902088404,1.902088404,370.356719971,83.279167175,3.232000113,1,1
2.912404537,1.912404537,370.628967285,17.966667175,-4.111999989,1,1
2.922148705,1.922148705,371.330230713,60.637496948,3.654000044,1,1
2.932318211,1.932318211,371.671966553,55.916667938,-4.429999828,1,1
2.942093134,1.942093134,372.059356689,7.562500000,-3.694999933,1,1
2.952322483,1.952322483,372.528656006,72.050003052,3.351999998,1,1
2.962161779,1.962161779,372.717651367,15.445833206,-4.052999973,1,1
2.972388268,1.972388268,373.324920654,55.412498474,3.223000050,1,1
2.982152700,1.982152700,373.554870605,33.916664124,-4.405000210,1,1
2.992386103,1.992386103,374.218536377,50.370834351,3.782999992,1,1
3.002194643,2.002194643,374.394104004,37.629165649,-4.434999943,1,1
3.012373924,2.012373924,374.846282959,19.983333588,3.832000017,1,1
3.022075653,2.022075653,375.143035889,63.295833588,3.151999950,1,1
3.032313824,2.032313824,375.434082031,35.612499237,-4.252999783,1,1
3.042115688,2.042115688,376.033630371,33.595832825,3.668999910,1,1
3.052376747,2.052376747,376.433776855,54.908332825,3.628000021,1,1
3.062173128,2.062173128,376.720458984,52.066665649,-4.276999950,1,1
3.072421789,2.072421789,377.117584229,5.041666985,-3.380000114,1,1
3.082114935,2.082114935,377.532501221,69.025001526,3.319999933,1,1
3.092331648,2.092331648,377.763793945,19.158332825,-4.302000046,1,1
