time_s,target_normalized,ideal_normalized,fit20,unity20,fit200,unity200,fit800,unity800
4.245000000000000440e-01,1.000000000000000000e+00,9.856642663209884692e-01,9.161511149603208670e-01,9.772656803945150017e-01,9.896142748344152196e-01,9.860725935617250526e-01,8.423178919005567256e-01,9.553791187010354236e-01
4.250000000000000444e-01,1.000000000000000000e+00,9.857357660910007757e-01,9.162280732566594477e-01,9.773680803987097043e-01,9.896856465300499783e-01,9.861427472023708285e-01,8.424201497172537634e-01,9.555476113336721644e-01
4.255000000000000449e-01,1.000000000000000000e+00,9.858069092544223810e-01,9.163046578566941269e-01,9.774700191724370324e-01,9.897566602239008526e-01,9.862125474726085583e-01,8.425219568257239500e-01,9.557154677223257400e-01
4.260000000000000453e-01,1.000000000000000000e+00,9.858776975898360106e-01,9.163808705750300376e-01,9.775714987931728439e-01,9.898273177117118404e-01,9.862819961523978662e-01,8.426233152124942283e-01,9.558826902695130023e-01
4.265000000000000457e-01,1.000000000000000000e+00,9.859481328669539302e-01,9.164567132174612496e-01,9.776725213290355931e-01,9.898976207802191452e-01,9.863510950127325483e-01,8.427242268553359894e-01,9.560492813686787272e-01
4.270000000000000462e-01,1.000000000000000000e+00,9.860182168466616881e-01,9.165321875810127361e-01,9.777730888388287411e-01,9.899675712071969169e-01,9.864198458156856475e-01,8.428246937233030422e-01,9.562152434042300309e-01
4.275000000000000466e-01,1.000000000000000000e+00,9.860879512810624137e-01,9.166072954539836726e-01,9.778732033720823891e-01,9.900371707615015504e-01,9.864882503144546400e-01,8.429247177767706933e-01,9.563805787515700096e-01
4.280000000000000471e-01,1.000000000000000000e+00,9.861573379135204487e-01,9.166820386159896250e-01,9.779728669690949117e-01,9.901064212031170930e-01,9.865563102534056217e-01,8.430243009674738275e-01,9.565452897771321572e-01
4.285000000000000475e-01,1.000000000000000000e+00,9.862263784787055343e-01,9.167564188380046275e-01,9.780720816609750345e-01,9.901753242831995427e-01,9.866240273681187167e-01,8.431234452385446554e-01,9.567093788384140041e-01
4.290000000000000480e-01,1.000000000000000000e+00,9.862950747026351106e-01,9.168304378824029266e-01,9.781708494696829126e-01,9.902438817441209240e-01,9.866914033854313759e-01,8.432221525245512384e-01,9.568728482840112015e-01
4.295000000000000484e-01,1.000000000000000000e+00,9.863634283027183924e-01,9.169040975030012808e-01,9.782691724080713191e-01,9.903120953195134746e-01,9.867584400234827857e-01,8.433204247515345697e-01,9.570357004536503842e-01
4.299999999999999933e-01,1.000000000000000000e+00,9.864314409877991130e-01,9.169773994451000387e-01,9.783670524799268353e-01,9.903799667343134994e-01,9.868251389917580552e-01,8.434182638370468776e-01,9.571979376782236981e-01
4.304999999999999938e-01,1.000000000000000000e+00,9.864991144581977123e-01,9.170503454455246617e-01,9.784644916800102621e-01,9.904474977048052242e-01,9.868915019911310704e-01,8.435156716901881513e-01,9.573595622798212190e-01
4.309999999999999942e-01,1.000000000000000000e+00,9.865664504057546358e-01,9.171229372326670237e-01,9.785614919940980316e-01,9.905146899386636505e-01,9.869575307139083487e-01,8.436126502116443326e-01,9.575205765717649253e-01
4.314999999999999947e-01,1.000000000000000000e+00,9.866334505138720790e-01,9.171951765265262679e-01,9.786580553990219533e-01,9.905815451349982981e-01,9.870232268438723366e-01,8.437092012937237318e-01,9.576809828586412277e-01
4.319999999999999951e-01,1.000000000000000000e+00,9.867001164575562866e-01,9.172670650387492186e-01,9.787541838627098478e-01,9.906480649843956154e-01,9.870885920563239324e-01,8.438053268203942192e-01,9.578407834363342754e-01
4.324999999999999956e-01,1.000000000000000000e+00,9.867664499034590753e-01,9.173386044726714594e-01,9.788498793442255153e-01,9.907142511689622788e-01,9.871536280181253398e-01,8.439010286673200856e-01,9.579999805920588196e-01
4.329999999999999960e-01,1.000000000000000000e+00,9.868324525099202438e-01,9.174097965233574126e-01,9.789451437938090361e-01,9.907801053623674914e-01,9.872183363877427009e-01,8.439963087018983456e-01,9.581585766043926311e-01
4.334999999999999964e-01,1.000000000000000000e+00,9.868981259270083184e-01,9.174806428776405287e-01,9.790399791529157403e-01,9.908456292298852830e-01,9.872827188152882849e-01,8.440911687832952648e-01,9.583165737433096965e-01
4.339999999999999969e-01,1.000000000000000000e+00,9.869634717965622972e-01,9.175511452141634772e-01,9.791343873542567300e-01,9.909108244284365874e-01,9.873467769425625651e-01,8.441856107624829963e-01,9.584739742702121923e-01
4.344999999999999973e-01,1.000000000000000000e+00,9.870284917522320622e-01,9.176213052034174478e-01,9.792283703218374047e-01,9.909756926066309868e-01,9.874105124030961855e-01,8.442796364822751087e-01,9.586307804379630149e-01
4.349999999999999978e-01,1.000000000000000000e+00,9.870931874195201239e-01,9.176911245077821189e-01,9.793219299709972070e-01,9.910402354048089002e-01,9.874739268221914834e-01,8.443732477773630007e-01,9.587869944909179765e-01
4.354999999999999982e-01,1.000000000000000000e+00,9.871575604158214778e-01,9.177606047815648482e-01,9.794150682084484805e-01,9.911044544550828839e-01,9.875370218169641223e-01,8.444664464743516508e-01,9.589426186649582240e-01
4.359999999999999987e-01,1.000000000000000000e+00,9.872216123504642393e-01,9.178297476710404190e-01,9.795077869323154385e-01,9.911683513813784874e-01,9.875997989963840595e-01,8.445592343917948108e-01,9.590976551875217693e-01
4.364999999999999991e-01,1.000000000000000000e+00,9.872853448247502772e-01,9.178985548144888984e-01,9.796000880321725779e-01,9.912319277994754430e-01,9.876622599613166242e-01,8.446516133402311999e-01,9.592521062776356855e-01
4.369999999999999996e-01,1.000000000000000000e+00,9.873487594319947380e-01,9.179670278422354945e-01,9.796919733890835369e-01,9.912951853170494099e-01,9.877244063045638178e-01,8.447435851222192538e-01,9.594059741459478596e-01
4.375000000000000000e-01,1.000000000000000000e+00,9.874118577575660138e-01,9.180351683766891924e-01,9.797834448756392867e-01,9.913581255337112763e-01,9.877862396109040599e-01,8.448351515323725414e-01,9.595592609947585228e-01
4.380000000000000004e-01,1.000000000000000000e+00,9.874746413789255994e-01,9.181029780323800571e-01,9.798745043559958789e-01,9.914207500410483487e-01,9.878477614571334886e-01,8.449263143573948476e-01,9.597119690180518914e-01
4.385000000000000009e-01,1.000000000000000000e+00,9.875371118656672831e-01,9.181704584159987581e-01,9.799651536859134149e-01,9.914830604226647637e-01,9.879089734121055955e-01,8.450170753761148124e-01,9.598641004015271427e-01
4.390000000000000013e-01,1.000000000000000000e+00,9.875992707795565595e-01,9.182376111264342056e-01,9.800553947127929044e-01,9.915450582542211233e-01,9.879698770367715266e-01,8.451074363595207917e-01,9.600156573226306111e-01
4.395000000000000018e-01,1.000000000000000000e+00,9.876611196745694876e-01,9.183044377548111870e-01,9.801452292757142359e-01,9.916067451034743518e-01,9.880304738842196066e-01,8.451973990707956075e-01,9.601666419505857641e-01
4.400000000000000022e-01,1.000000000000000000e+00,9.877226600969315484e-01,9.183709398845282257e-01,9.802346592054739238e-01,9.916681225303176639e-01,9.880907654997151957e-01,8.452869652653501875e-01,9.603170564464255099e-01
4.405000000000000027e-01,1.000000000000000000e+00,9.877838935851566138e-01,9.184371190912953287e-01,9.803236863246220789e-01,9.917291920868197552e-01,9.881507534207399912e-01,8.453761366908592034e-01,9.604669029630220622e-01
4.410000000000000031e-01,1.000000000000000000e+00,9.878448216700850271e-01,9.185029769431710678e-01,9.804123124474998230e-01,9.917899553172641047e-01,9.882104391770312191e-01,8.454649150872933783e-01,9.606161836451183600e-01
4.415000000000000036e-01,1.000000000000000000e+00,9.879054458749221279e-01,9.185685150005996613e-01,9.805005393802758151e-01,9.918504137581881652e-01,9.882698242906209352e-01,8.455533021869552357e-01,9.607649006293583760e-01
4.420000000000000040e-01,1.000000000000000000e+00,9.879657677152762218e-01,9.186337348164481664e-01,9.805883689209836662e-01,9.919105689384218882e-01,9.883289102758742173e-01,8.456412997145116295e-01,9.609130560443183144e-01
4.425000000000000044e-01,1.000000000000000000e+00,9.880257886991963279e-01,9.186986379360432275e-01,9.806758028595581322e-01,9.919704223791265818e-01,9.883876986395282449e-01,8.457289093870278274e-01,9.610606520105362538e-01
4.430000000000000049e-01,1.000000000000000000e+00,9.880855103272103701e-01,9.187632258972074917e-01,9.807628429778717516e-01,9.920299755938335462e-01,9.884461908807308239e-01,8.458161329140010398e-01,9.612076906405432331e-01
4.435000000000000053e-01,1.000000000000000000e+00,9.881449340923619262e-01,9.188275002302964678e-01,9.808494910497712604e-01,9.920892300884821546e-01,9.885043884910781342e-01,8.459029719973938377e-01,9.613541740388930057e-01
