f7_tick_ms,position_mm,measured_velocity_mm_s,applied_mpc_velocity_mm_s,dob_model_velocity_mm_s,controller_current_A,unsaturated_controller_current_A,saturated
8.458400000000000000e+04,4.575396423339843750e+02,-7.777916870117187500e+02,-8.250000000000000000e+02,-7.637240600585937500e+02,-1.872783660888671875e+00,-1.872783660888671875e+00,0.000000000000000000e+00
8.458600000000000000e+04,4.559887390136718750e+02,-7.754083251953125000e+02,-8.250000000000000000e+02,-7.661267089843750000e+02,-2.296670436859130859e+00,-2.296670436859130859e+00,0.000000000000000000e+00
8.458800000000000000e+04,4.544677124023437500e+02,-7.732541503906250000e+02,-8.250000000000000000e+02,-7.684351196289062500e+02,-2.711754322052001953e+00,-2.711754322052001953e+00,0.000000000000000000e+00
8.459000000000000000e+04,4.528970031738281250e+02,-7.722458496093750000e+02,-8.250000000000000000e+02,-7.706530151367187500e+02,-3.006212711334228516e+00,-3.006212711334228516e+00,0.000000000000000000e+00
8.459200000000000000e+04,4.514155883789062500e+02,-7.700458374023437500e+02,-8.250000000000000000e+02,-7.727839965820312500e+02,-3.454867839813232422e+00,-3.454867839813232422e+00,0.000000000000000000e+00
8.459400000000000000e+04,4.498438720703125000e+02,-7.685333251953125000e+02,-8.250000000000000000e+02,-7.748314208984375000e+02,-3.838717460632324219e+00,-3.838717460632324219e+00,0.000000000000000000e+00
8.459700000000000000e+04,4.482761840820312500e+02,-7.683958129882812500e+02,-8.250000000000000000e+02,-7.767985229492187500e+02,-4.070643424987792969e+00,-4.070643424987792969e+00,0.000000000000000000e+00
8.459800000000000000e+04,4.465423278808593750e+02,-7.710541381835937500e+02,-8.250000000000000000e+02,-7.786885375976562500e+02,-3.970676422119140625e+00,-3.970676422119140625e+00,0.000000000000000000e+00
8.460000000000000000e+04,4.451867980957031250e+02,-7.737583618164062500e+02,-8.250000000000000000e+02,-7.805043945312500000e+02,-3.852719783782958984e+00,-3.852719783782958984e+00,0.000000000000000000e+00
8.460200000000000000e+04,4.436046752929687500e+02,-7.754083251953125000e+02,-8.250000000000000000e+02,-7.822490844726562500e+02,-3.848972320556640625e+00,-3.848972320556640625e+00,0.000000000000000000e+00
8.460400000000000000e+04,4.420144958496093750e+02,-7.794416503906250000e+02,-8.250000000000000000e+02,-7.839253540039062500e+02,-3.551308155059814453e+00,-3.551308155059814453e+00,0.000000000000000000e+00
8.460600000000000000e+04,4.404471435546875000e+02,-7.833375244140625000e+02,-8.250000000000000000e+02,-7.855358886718750000e+02,-3.248487949371337891e+00,-3.248487949371337891e+00,0.000000000000000000e+00
8.460800000000000000e+04,4.389563293457031250e+02,-7.876916503906250000e+02,-8.250000000000000000e+02,-7.870832519531250000e+02,-2.869222164154052734e+00,-2.869222164154052734e+00,0.000000000000000000e+00
8.461000000000000000e+04,4.373439941406250000e+02,-7.900291748046875000e+02,-8.250000000000000000e+02,-7.885699462890625000e+02,-2.708784103393554688e+00,-2.708784103393554688e+00,0.000000000000000000e+00
8.461200000000000000e+04,4.357262878417968750e+02,-7.937416381835937500e+02,-8.250000000000000000e+02,-7.899983520507812500e+02,-2.370594978332519531e+00,-2.370594978332519531e+00,0.000000000000000000e+00
8.461400000000000000e+04,4.341293945312500000e+02,-7.970875244140625000e+02,-8.250000000000000000e+02,-7.913707885742187500e+02,-2.055781364440917969e+00,-2.055781364440917969e+00,0.000000000000000000e+00
8.461700000000000000e+04,4.325261230468750000e+02,-7.994250488281250000e+02,-8.250000000000000000e+02,-7.926893920898437500e+02,-1.843777656555175781e+00,-1.843777656555175781e+00,0.000000000000000000e+00
8.461800000000000000e+04,4.308919677734375000e+02,-8.029541625976562500e+02,-8.250000000000000000e+02,-7.939562988281250000e+02,-1.475399494171142578e+00,-1.475399494171142578e+00,0.000000000000000000e+00
8.462000000000000000e+04,4.292823181152343750e+02,-8.052916870117187500e+02,-8.250000000000000000e+02,-7.951735229492187500e+02,-1.230323791503906250e+00,-1.230323791503906250e+00,0.000000000000000000e+00
8.462200000000000000e+04,4.276360778808593750e+02,-8.066666870117187500e+02,-8.250000000000000000e+02,-7.963430175781250000e+02,-1.088215351104736328e+00,-1.088215351104736328e+00,0.000000000000000000e+00
8.462400000000000000e+04,4.260177001953125000e+02,-8.078125000000000000e+02,-8.250000000000000000e+02,-7.974666748046875000e+02,-9.665627479553222656e-01,-9.665627479553222656e-01,0.000000000000000000e+00
8.462600000000000000e+04,4.244563903808593750e+02,-8.096916503906250000e+02,-8.250000000000000000e+02,-7.985462646484375000e+02,-7.506213188171386719e-01,-7.506213188171386719e-01,0.000000000000000000e+00
8.462800000000000000e+04,4.227769165039062500e+02,-8.105166625976562500e+02,-8.250000000000000000e+02,-7.995834960937500000e+02,-6.512255668640136719e-01,-6.512255668640136719e-01,0.000000000000000000e+00
8.463000000000000000e+04,4.212156066894531250e+02,-8.106541748046875000e+02,-8.250000000000000000e+02,-8.005800781250000000e+02,-6.307086944580078125e-01,-6.307086944580078125e-01,0.000000000000000000e+00
8.463200000000000000e+04,4.195646667480468750e+02,-8.100124511718750000e+02,-8.250000000000000000e+02,-8.015375976562500000e+02,-7.044396400451660156e-01,-7.044396400451660156e-01,0.000000000000000000e+00
8.463400000000000000e+04,4.179459533691406250e+02,-8.086833496093750000e+02,-8.250000000000000000e+02,-8.024575805664062500e+02,-8.662738800048828125e-01,-8.662738800048828125e-01,0.000000000000000000e+00
8.463700000000000000e+04,4.163017272949218750e+02,-8.093249511718750000e+02,-8.250000000000000000e+02,-8.033414916992187500e+02,-8.000459671020507812e-01,-8.000459671020507812e-01,0.000000000000000000e+00
8.463800000000000000e+04,4.146830139160156250e+02,-8.088208618164062500e+02,-8.250000000000000000e+02,-8.041907348632812500e+02,-8.691987991333007812e-01,-8.691987991333007812e-01,0.000000000000000000e+00
8.464000000000000000e+04,4.130673217773437500e+02,-8.068041381835937500e+02,-8.250000000000000000e+02,-8.050066528320312500e+02,-1.125215530395507812e+00,-1.125215530395507812e+00,0.000000000000000000e+00
