tick,id,target,model,velocity,current,position,reference_current
244543,1,-73.6937026977539,-29.30390167236328,-17.8610897064209,-2.9945619106292725,91.20329284667969,-0.9134957194328308
244563,1,-75.39842224121094,-37.60133361816406,-20.406206130981445,-4.692400932312012,90.7198257446289,-1.636773943901062
244583,1,-72.92829132080078,-44.28716278076172,-29.86765480041504,-4.077699661254883,89.79698181152344,-2.127659559249878
244603,1,-66.65228271484375,-49.08251953125,-28.243450164794922,-5.965112209320068,89.26963806152344,-2.7852909564971924
244623,1,-62.2338752746582,-51.76774978637695,-31.54888153076172,-6.153713226318359,88.56651306152344,-3.325460433959961
244643,1,-50.59859085083008,-52.272315979003906,-38.773162841796875,-4.511115550994873,87.57772064208984,-3.4267547130584717
244663,1,-36.19654846191406,-50.35227966308594,-46.82210922241211,-1.7979187965393066,86.39118194580078,-2.967620372772217
244683,1,-19.54372787475586,-46.32476043701172,-52.3685302734375,1.0363438129425049,85.1826171875,-1.9515635967254639
244703,1,-10.070721626281738,-40.39898681640625,-46.826236724853516,1.3449013233184814,84.36965942382812,-0.839279055595398
244723,1,8.205613136291504,-32.496238708496094,-35.517051696777344,0.7593313455581665,83.99613189697266,-0.2749549448490143
244743,1,25.403751373291016,-22.978788375854492,-23.61789894104004,0.3146115839481354,83.88624572753906,-0.03710909187793732
244763,1,41.977447509765625,-12.67302131652832,-13.236827850341797,0.4256837069988251,83.90821838378906,0.052302949130535126
244783,1,54.6588249206543,-1.6616963148117065,1.2476814985275269,-0.49671417474746704,84.34769439697266,-0.02756423130631447
244803,1,61.13776397705078,9.28011417388916,4.658111095428467,1.4283361434936523,84.52342224121094,0.20911338925361633
244823,1,70.51570129394531,20.041149139404297,12.796574592590332,2.2062485218048096,85.02880096435547,0.5712392330169678
244843,1,75.94270324707031,29.86783790588379,19.712059020996094,3.073667049407959,85.62210083007812,1.0362179279327393
244863,1,77.02246856689453,38.39106369018555,23.89080810546875,4.305896759033203,86.25933074951172,1.5931392908096313
244883,1,74.29888916015625,45.20123291015625,27.362573623657227,5.324624538421631,86.91852569580078,2.3051185607910156
244903,1,67.36688232421875,50.03343200683594,32.21750259399414,5.4759907722473145,87.68754577636719,2.8232762813568115
244923,1,62.85747528076172,52.6655387878418,37.70817565917969,4.942604064941406,88.63240814208984,3.149949073791504
244943,1,50.50152587890625,52.93751907348633,40.347450256347656,4.370913028717041,89.48934936523438,3.146832227706909
244963,1,35.025482177734375,50.76896667480469,44.814456939697266,2.5430097579956055,90.52207946777344,2.8906755447387695
244983,1,17.60757827758789,46.36778259277344,45.05307388305664,1.119926929473877,91.48890686035156,2.3094046115875244
245003,1,-0.4553530216217041,39.85647964477539,41.55243682861328,0.06969159096479416,92.21399688720703,1.5491150617599487
245023,1,-9.435787200927734,31.533689498901367,33.93758773803711,-0.17597022652626038,92.6974105834961,0.9392089247703552
245043,1,-27.72469139099121,21.708528518676758,22.21715545654297,0.13314935564994812,92.7852783203125,0.6074712872505188
245063,1,-44.280029296875,10.823823928833008,13.818721771240234,-0.670118510723114,92.80729675292969,0.32774439454078674
245083,1,-58.52069854736328,-0.48616060614585876,0.5349920988082886,-0.26864784955978394,92.47769927978516,-0.01003184262663126
245103,1,-69.21603393554688,-11.81452465057373,-12.320459365844727,0.16950590908527374,91.84046936035156,0.05561443045735359
245123,1,-73.06663513183594,-22.65507698059082,-12.581705093383789,-2.6097986698150635,91.59878540039062,-0.39865007996559143
245143,1,-78.03797912597656,-32.48723220825195,-20.25162696838379,-3.3168184757232666,90.93959045410156,-1.0751769542694092
245163,1,-78.59835052490234,-40.85879135131836,-26.20523452758789,-4.1295905113220215,90.3023681640625,-1.7452747821807861
245183,1,-74.44380950927734,-47.38969802856445,-30.420482635498047,-4.841488361358643,89.53328704833984,-2.3129098415374756
245203,1,-70.4322509765625,-51.84014892578125,-29.92435073852539,-6.426657199859619,88.96200561523438,-2.9584641456604004
245223,1,-59.42062759399414,-53.818363189697266,-35.58045959472656,-5.641958236694336,88.10506439208984,-3.288644552230835
245243,1,-45.66796112060547,-53.171104431152344,-42.66324996948242,-3.6443564891815186,87.00638580322266,-3.3394854068756104
245263,1,-28.190534591674805,-50.26621627807617,-50.69365692138672,-0.5500551462173462,85.73197937011719,-2.595364809036255
245283,1,-11.01304817199707,-44.834014892578125,-51.659584045410156,1.4841077327728271,84.63330841064453,-1.4016547203063965
245303,1,-0.7630202770233154,-37.54425048828125,-43.665279388427734,1.4998095035552979,83.99613189697266,-0.47929590940475464
245323,1,18.214433670043945,-28.210710525512695,-29.74964714050293,0.5604640245437622,83.79833221435547,-0.07489944994449615
245343,1,36.746315002441406,-17.660524368286133,-17.421855926513672,0.25530120730400085,83.79833221435547,0.05503005161881447
245363,1,52.72499084472656,-6.3348708152771,-4.899641990661621,0.01565522328019142,84.06202697753906,0.056588396430015564
245383,1,64.76486206054688,5.4305853843688965,1.4197452068328857,1.4574692249298096,84.3037109375,0.1865168809890747
245403,1,70.4620132446289,16.830293655395508,12.222798347473145,1.5807397365570068,84.8310546875,0.46858179569244385
245423,1,77.94288635253906,27.600059509277344,17.25777244567871,3.196626901626587,85.33648681640625,0.9343391060829163
245443,1,80.66490173339844,37.11250305175781,25.7847900390625,3.543975591659546,86.10551452636719,1.4934037923812866
245463,1,78.58163452148438,44.882511138916016,29.689491271972656,4.677340984344482,86.78667449951172,2.202266216278076
245483,1,72.55003356933594,50.52361297607422,32.54738998413086,5.57089376449585,87.48979949951172,2.819964647293091
245503,1,67.3680419921875,53.93035125732422,38.941741943359375,4.975606441497803,88.45662689208984,3.0870301723480225
245523,1,54.053741455078125,54.66843032836914,42.40755081176758,4.264418601989746,89.4014892578125,3.129105806350708
245543,1,38.15694808959961,52.6262092590332,46.67327880859375,2.5094032287597656,90.4561767578125,2.8298990726470947
245563,1,19.411087036132812,48.33245086669922,47.344661712646484,0.9611681699752808,91.44497680664062,2.2564196586608887
245583,1,-0.5121806263923645,41.68323516845703,43.19767379760742,0.010625923052430153,92.19203186035156,1.5161950588226318
245603,1,-18.429723739624023,32.834503173828125,35.75758743286133,-0.614559531211853,92.71937561035156,0.8772637248039246
245623,1,-27.39453887939453,22.52813720703125,22.873821258544922,0.08967690169811249,92.7852783203125,0.5155279040336609
245643,1,-45.37544631958008,11.244829177856445,14.37307357788086,-0.8181979656219482,92.80729675292969,0.23911252617835999
